,Title,Plot,genre
498,Chasers,A hapless Navy grunt is assigned SP duty. The catch: he must escort a beautiful female prisoner on her way to prison for going UA. She in turn will try anything to escape.,Comedy
500,Kika,"Kika, a young cosmetologist, is called to the mansion of Nicolas, an American writer to make-up the corpse of his stepson, Ramon. Ramon, who is not dead, is revived by Kika's attentions and she then moves in with him. They might live happily ever after but first they have to cope with Kika's affair with Nicolas, the suspicious death of Ramon's mother and the intrusive gaze of tabloid-TV star and Ramon's ex-psychologist Andrea Scarface.",Comedy
501,Bhaji on the Beach,"A group of women of Indian descent take a trip together from their home in Birmingham, England to the beach resort of Blackpool. The women vary in ages from mid-teens to old, and initially have little in common. But the events of the day lead them to better mutual understanding and solidarity.",Comedy
502,Little Big League,"When the owner of the Minnesota Twins dies suddenly, his will bequeaths the team to his grandson Billy, a devotee of baseball who, although only 12, has devoured voluminous lore, knows the team intimately, and has shown an uncanny sixth sense of what they need to improve. They hate their manager, so Billy quickly fires the SOB, winning their instant approval. However, this turns to dismay when he announces their new manager: Billy Heywood. How will Billy convince a gang of proud, tough men to stick around and take orders from a kid? On the other hand, what's to lose-- the team has nowhere to go but up.",Comedy
503,"Ciao, Professore!","Marco Sperelli is a teacher, he is divorced and he is sent to work in Corzano, a town near Naples. The first day of work he finds in the school only the school-caretaker and few girls and ...",Comedy
504,Spanking the Monkey,"Raymond Aibelli is a promising medical student ready to begin a prestigious summer internship. But Susan, his mother, is immobilized by a broken leg, and his father Tom, a travelling salesman, makes Raymond stay home and take care of his mother, an attractive though unhappy woman. His mother's condition leads them to a degree of immediate physical contact which Raymond finds disturbing. He soon meets Toni, a high school girl, but his sexual impulses are increasingly confused, especially since he is still upset over losing the internship.",Comedy
505,The Little Rascals,"The story begins with Spanky, who is the president of the ""He-Man Woman Haters Club"" with many school-aged boys from around the neighborhood as members. His best friend, Alfalfa, has been chosen as the driver for the club's prize-winning go-kart, called ""The Blur"", in the annual Soap Box Derby style race. However, when the announcement is made, Alfalfa is nowhere to be found. The boys catch Alfalfa in the company of Darla -- ""a girl!"" Alfalfa isn't like his friends because he's in love with Darla, and unfortunately threatens the very existence of their ""boys only"" club. The club's members try their hardest to break the two apart, eventually causing their beloved clubhouse to burn down. Darla is mistakenly led to believe Alfalfa feels ashamed of her, so she turns her attentions to Waldo, the new rich kid whose father is an oil tycoon. Further trouble ensures when their prized go-cart ""The Blur"" is stolen by local neighborhood bullies Butch and Woim. How can they win the big race and its prize trophy?! In addition to having to rebuild the clubhouse, the boys now need a new set of wheels. They band together to build ""Blur 2: The Sequel."" Prior to race day, Spanky and Alfalfa reconcile and decide to ride in the two-seat go-kart together.",Comedy
507,Princess Caraboo,"Bristol, England, early 19th century. A beautiful young stranger who speaks a weird language is tried for the crime of begging. But when a man claims that he can translate her dialect, it ...",Comedy
509,Café au lait,"Lola is pregnant. But she does not know who the father is : Jamal, the black muslim, son of diplomats, or Felix, the pennyless jewish messenger. Jamal and Felix meet at Lola's, and the race begins.",Comedy
510,The Brady Bunch Movie,"Mike Brady and his wife Carol Brady have just only one week to come up with $20,000 in back taxes or their house is sold and they'll have no choice but to move. And it's up to the Brady kids to secretly raise money and save the homestead before they lose their house to their scheming neighbor Mr. Larry Dittmeyer.",Comedy
512,Terminator 2: Judgment Day,"Over 10 years have passed since the first cyborg called The Terminator tried to kill Sarah Connor and her unborn son, John Connor. John Connor, the future leader of the human resistance, is now a healthy young boy. However another Terminator is sent back through time called the T-1000, which is more advanced and more powerful than its predecessor. The Mission: to kill John Connor when he's still a child. However, Sarah and John do not have to face this threat of a Terminator alone. Another Terminator is also sent back through time. The mission: to protect John and Sarah Connor at all costs. The battle for tomorrow has begun...",Action
